N,V1,V2,V3,V4,V5,V6,V7,solutions
1,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0
3,1,2,0,0,0,0,0,0
4,1,2,0,0,0,0,0,0
5,1,4,0,0,0,0,0,0
6,1,4,0,0,0,0,0,0
7,1,6,0,0,0,0,0,0
8,1,6,1,0,0,0,0,0
9,1,8,12,0,0,0,0,0
10,1,8,6,0,0,0,0,0
11,1,10,20,0,0,0,0,0
12,1,10,25,0,0,0,0,0
13,1,12,36,0,0,0,0,0
14,1,12,27,0,0,0,0,0
15,1,14,64,0,0,0,0,0
16,1,14,51,0,0,0,0,0
17,1,16,80,0,0,0,0,0
18,1,16,75,0,0,0,0,0
19,1,18,108,0,0,0,0,0
20,1,18,104,0,0,0,0,0
21,1,20,144,0,0,0,0,0
22,1,20,125,2,0,0,0,0
23,1,22,176,9,0,0,0,0
24,1,22,172,24,0,0,0,0
25,1,24,220,28,0,0,0,0
26,1,24,198,37,0,0,0,0
27,1,26,264,243,0,0,0,0
28,1,26,246,78,0,0,0,0
29,1,28,308,196,0,0,0,0
30,1,28,298,244,0,0,0,0
31,1,30,360,357,0,0,0,0
32,1,30,343,299,0,0,0,0
33,1,32,420,892,0,0,0,0
34,1,32,392,471,0,0,0,0
35,1,34,480,726,0,0,0,0
36,1,34,463,1083,0,0,0,0
37,1,36,540,1242,0,0,0,0
38,1,36,513,1004,0,0,0,0
39,1,38,612,2187,0,0,0,0
40,1,38,589,1363,0,0,0,0
41,1,40,680,2251,0,0,0,0
42,1,40,657,2069,0,0,0,0
43,1,42,756,2904,0,0,0,0
44,1,42,730,2694,0,0,0,0
45,1,44,844,4254,0,0,0,0
46,1,44,803,3008,0,0,0,0
47,1,46,920,4549,0,0,0,0
48,1,46,898,4554,0,0,0,0
49,1,48,1008,5308,0,0,0,0
50,1,48,976,4540,0,0,0,0
51,1,50,1104,7557,0,0,0,0
52,1,50,1068,6149,0,0,0,0
53,1,52,1196,7983,0,0,0,0
54,1,52,1164,7395,0,0,0,0
55,1,54,1300,9495,0,0,0,0
56,1,54,1261,8023,0,0,0,0
57,1,56,1404,12047,0,0,0,0
58,1,56,1358,9358,0,0,0,0
59,1,58,1508,12768,0,0,0,0
60,1,58,1481,12620,2,0,0,0
61,1,60,1620,14701,6,0,0,0
62,1,60,1575,12641,9,0,0,0
63,1,62,1740,17487,7,0,0,0
64,1,62,1695,15074,29,0,0,0
65,1,64,1860,19343,58,0,0,0
66,1,64,1815,17791,126,0,0,0
67,1,66,1980,21624,130,0,0,0
68,1,66,1936,19891,150,0,0,0
69,1,68,2112,25688,669,0,0,0
70,1,68,2061,21009,229,0,0,0
71,1,70,2240,27258,573,0,0,0
72,1,70,2200,25786,1563,0,0,0
73,1,72,2376,30403,1010,0,0,0
74,1,72,2322,26887,881,0,0,0
75,1,74,2524,35610,2754,0,0,0
76,1,74,2466,31206,1359,0,0,0
77,1,76,2660,36913,2303,0,0,0
78,1,76,2610,34935,3772,0,0,0
79,1,78,2808,41253,3787,0,0,0
80,1,78,2759,37898,3173,0,0,0
81,1,80,2964,46736,16920,0,0,0
82,1,80,2900,40688,4864,0,0,0
83,1,82,3116,49745,8026,0,0,0
84,1,82,3067,47382,10021,0,0,0
85,1,84,3280,54921,10195,0,0,0
86,1,84,3213,49072,9495,0,0,0
87,1,86,3444,61076,26861,0,0,0
88,1,86,3381,54563,13419,0,0,0
89,1,88,3608,64527,20849,0,0,0
90,1,88,3553,60481,29328,0,0,0
91,1,90,3780,69593,24959,0,0,0
92,1,90,3718,65272,22271,0,0,0
93,1,92,3960,77735,56341,0,0,0
94,1,92,3887,69124,29030,0,0,0
95,1,94,4140,82637,40907,0,0,0
96,1,94,4078,78105,52338,0,0,0
97,1,96,4320,88393,56714,0,0,0
98,1,96,4248,80446,44254,0,0,0
99,1,98,4512,96696,123394,0,0,0
100,1,98,4444,89410,55896,0,0,0
101,1,100,4700,102252,87470,0,0,0
102,1,100,4632,96453,95285,0,0,0
103,1,102,4896,109690,106842,0,0,0
104,1,102,4825,102319,86578,0,0,0
105,1,104,5104,120004,156591,0,0,0
106,1,104,5018,108379,106166,0,0,0
107,1,106,5300,125625,154947,0,0,0
108,1,106,5233,120049,185563,0,0,0
109,1,108,5508,134137,184613,0,0,0
110,1,108,5431,124430,154910,0,0,0
111,1,110,5724,145325,289838,0,0,0
112,1,110,5643,133641,174086,0,0,0
113,1,112,5936,152294,257077,0,0,0
114,1,112,5859,144287,261960,0,0,0
115,1,114,6160,162887,283115,0,0,0
116,1,114,6076,152682,255576,0,0,0
117,1,116,6384,173996,468806,0,0,0
118,1,116,6293,160179,289531,0,0,0
119,1,118,6608,182134,384604,0,0,0
120,1,118,6536,175163,399112,0,0,0
121,1,120,6840,193120,484008,0,0,0
122,1,120,6750,180532,386483,0,0,0
123,1,122,7080,207222,658178,0,0,0
124,1,122,6990,193567,459140,0,0,0
125,1,124,7320,217420,580735,0,0,0
126,1,124,7230,204889,595115,0,0,0
127,1,126,7560,228550,690085,0,0,0
128,1,126,7471,216017,584081,0,0,0
129,1,128,7812,243869,940420,0,0,0
130,1,128,7716,226806,645199,0,0,0
131,1,130,8060,254234,880964,0,0,0
132,1,130,7975,244062,924165,0,0,0
133,1,132,8316,267469,953688,0,0,0
134,1,132,8217,251748,831499,0,0,0
135,1,134,8584,285313,1292022,0,0,0
136,1,134,8481,267265,940499,0,0,0
137,1,136,8840,296244,1238929,0,0,0
138,1,136,8745,282735,1186081,0,0,0
139,1,138,9108,311209,1379674,0,0,0
140,1,138,9014,296339,1154535,0,0,0
141,1,140,9384,329644,1772899,0,0,0
142,1,140,9275,308329,1295307,0,0,0
143,1,142,9656,342207,1753596,0,0,0
144,1,142,9562,328938,1685353,0,0,0
145,1,144,9940,360348,1825747,0,0,0
146,1,144,9828,339543,1590406,0,0,0
147,1,146,10224,378910,2293003,0,0,0
148,1,146,10116,358641,1820410,0,0,0
149,1,148,10508,393608,2273012,0,0,0
150,1,148,10408,377594,2118405,0,0,0
151,1,150,10800,411659,2494380,0,0,0
152,1,150,10693,392649,2148760,0,0,0
153,1,152,11100,433147,3091665,0,0,0
154,1,152,10982,407364,2326477,0,0,0
155,1,154,11400,450744,2927381,0,0,0
156,1,154,11293,433199,2959854,0,0,0
157,1,156,11700,469094,3255606,0,0,0
158,1,156,11583,445643,2786541,0,0,0
159,1,158,12012,492741,3942779,0,0,0
160,1,158,11899,468708,3049928,0,0,0
161,1,160,12320,509955,3764081,0,0,0
162,1,160,12207,489338,3626726,0,0,0
163,1,162,12636,531626,4179617,0,0,0
164,1,162,12520,509156,3714235,0,0,0
165,1,164,12964,558199,4992786,0,0,0
166,1,164,12833,527400,3897395,0,0,0
167,1,166,13280,576251,4896361,0,0,0
168,1,166,13168,555821,4600840,2,0,0
169,1,168,13608,599276,5329668,1,0,0
170,1,168,13486,572868,4518612,1,0,0
171,1,170,13944,626647,6236990,7,0,0
172,1,170,13818,598090,5086681,9,0,0
173,1,172,14276,647755,6139657,8,0,0
174,1,172,14154,623310,5720996,27,0,0
175,1,174,14620,674149,6412967,38,0,0
176,1,174,14491,645421,5885592,60,0,0
177,1,176,14964,702346,7691311,64,0,0
178,1,176,14828,667850,6154330,94,0,0
179,1,178,15308,724930,7605389,162,0,0
180,1,178,15191,702052,7308606,370,0,0
181,1,180,15660,751953,8148040,216,0,0
182,1,180,15525,718983,7052964,251,0,0
183,1,182,16020,783558,9397252,1094,0,0
184,1,182,15885,749711,7693602,429,0,0
185,1,184,16380,809655,9249405,619,0,0
186,1,184,16245,779208,8666446,1619,0,0
187,1,186,16740,836702,10031678,944,0,0
188,1,186,16606,805870,8937935,821,0,0
189,1,188,17112,870251,11197354,1974,0,0
190,1,188,16971,832558,9211946,1323,0,0
191,1,190,17480,897160,11306625,2406,0,0
192,1,190,17350,868886,10734819,5303,0,0
193,1,192,17856,928275,12034596,3369,0,0
194,1,192,17712,891059,10548615,2778,0,0
195,1,194,18244,965688,13681628,11219,0,0
196,1,194,18096,925264,11416103,3580,0,0
197,1,196,18620,992645,13595292,6781,0,0
198,1,196,18480,958463,12704859,20871,0,0
199,1,198,19008,1025915,14430149,9535,0,0
200,1,198,18869,990983,12775856,7420,0,0
201,1,200,19404,1064245,16245074,28314,0,0
202,1,200,19250,1019220,13474995,10333,0,0
203,1,202,19796,1094419,16004265,16487,0,0
204,1,202,19657,1062207,15513053,31969,0,0
205,1,204,20200,1132033,17100045,21139,0,0
206,1,204,20043,1087664,15148631,18745,0,0
207,1,206,20604,1170621,19158588,124719,0,0
208,1,206,20451,1126261,16377606,25257,0,0
209,1,208,21008,1203160,19276901,38123,0,0
210,1,208,20863,1165824,17652632,57077,0,0
211,1,210,21420,1241235,20272530,52342,0,0
212,1,210,21268,1199999,18373273,40963,0,0
213,1,212,21840,1284407,22539118,146359,0,0
214,1,212,21677,1233596,18960494,52535,0,0
215,1,214,22260,1321154,22504864,77267,0,0
216,1,214,22108,1281079,21262242,289066,0,0
217,1,216,22680,1359097,23527160,99518,0,0
218,1,216,22518,1311214,21116800,84780,0,0
219,1,218,23112,1405047,26297488,279562,0,0
220,1,218,22954,1356730,22755127,94037,0,0
221,1,220,23540,1441820,26494336,155278,0,0
222,1,220,23382,1398207,24515197,251579,0,0
223,1,222,23976,1484712,27726030,201558,0,0
224,1,222,23815,1436954,24870339,157766,0,0
225,1,224,24424,1534659,30444375,652418,0,0
226,1,224,24248,1476071,25978382,196377,0,0
227,1,226,24860,1572427,30614530,297852,0,0
228,1,226,24703,1529732,29137799,426636,0,0
229,1,228,25308,1617549,32140526,358433,0,0
230,1,228,25141,1565245,28595282,288947,0,0
231,1,230,25764,1668003,34984547,763633,0,0
232,1,230,25593,1612514,30474860,395095,0,0
233,1,232,26216,1710366,35362560,516710,0,0
234,1,232,26049,1660109,32984070,988227,0,0
235,1,234,26680,1760257,37021537,573120,0,0
236,1,234,26506,1705369,33846140,482388,0,0
237,1,236,27144,1811797,40425938,1344789,0,0
238,1,236,26963,1747803,34631398,547967,0,0
239,1,238,27608,1856136,40640575,860097,0,0
240,1,238,27446,1808938,38404632,1171247,0,0
241,1,240,28080,1906504,42524619,1009271,0,0
242,1,240,27900,1845769,38253558,808237,0,0
243,1,242,28560,1962787,46097494,3847885,0,0
244,1,242,28380,1900934,40708904,939193,0,0
245,1,244,29040,2011992,46120291,1242491,0,0
246,1,244,28860,1954244,43330142,1887846,0,0
247,1,246,29520,2062813,48714290,1533784,0,0
248,1,246,29341,2003774,44164232,1392725,0,0
249,1,248,30012,2122481,52586565,3263670,0,0
250,1,248,29826,2054240,45559125,1523888,0,0
251,1,250,30500,2172036,52941286,2159061,0,0
252,1,250,30325,2116781,49965001,3350101,0,0
253,1,252,30996,2227704,55297137,2519605,0,0
254,1,252,30807,2160820,49826387,2025653,0,0
255,1,254,31504,2292448,59766231,4460814,0,0
256,1,254,31311,2220974,52638662,2344079,0,0
257,1,256,32000,2342596,60042929,3280184,0,0
258,1,256,31815,2280457,56042024,4250604,0,0
259,1,258,32508,2401123,62169367,3585400,0,0
260,1,258,32324,2337616,57556084,2883717,0,0
261,1,260,33024,2466539,67142800,9455001,0,0
262,1,260,32825,2389361,58956783,3499274,0,0
263,1,262,33536,2521853,67834815,4878017,0,0
264,1,262,33352,2460523,64086326,6385932,0,0
265,1,264,34060,2586068,70607562,5232586,0,0
266,1,264,33858,2508912,63718823,4263254,0,0
267,1,266,34584,2652104,75728453,10228807,0,0
268,1,266,34386,2576128,67645754,5051551,0,0
269,1,268,35108,2710020,76358865,7073897,0,0
270,1,268,34918,2642731,71274828,10943495,0,0
271,1,270,35640,2774761,79371317,7992007,0,0
272,1,270,35443,2701661,72978725,6420587,0,0
273,1,272,36180,2845984,84626290,13208200,0,0
